category,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,points
"Projektmanagement",3,"Fast Tracking bedeutet im Projektmanagement?","Überstunden","Parallelisierung von Vorgängen","Mehr Mitarbeiter","Weniger Qualität","B","Fast Tracking: Eigentlich sequenzielle Vorgänge werden parallelisiert.",3
"Projektmanagement",2,"Was ist Crashing im Projektmanagement?","Projekt scheitert","Zusätzliche Ressourcen zur Beschleunigung","System-Absturz","Kosten sparen","B","Crashing: Zusätzliche Ressourcen einsetzen um Vorgänge zu beschleunigen.",3
"Projektmanagement",3,"Der Unterschied zwischen FP und GP?","FP ist immer größer","GP ist immer größer oder gleich FP","FP ist immer größer oder gleich GP","Kein Zusammenhang","B","GP ≥ FP, da GP die gesamte Reserve angibt, FP nur die ohne Nachfolger-Einfluss.",3
"Projektmanagement",4,"Vorgang A: FAZ=5, Dauer=4, GP=2. Wann muss A spätestens beginnen?","5","7","9","11","B","SAZ = FAZ + GP = 5 + 2 = 7",3
"Projektmanagement",3,"Was passiert wenn zwei kritische Pfade existieren?","Fehler im Netzplan","Beide müssen überwacht werden","Nur einer ist wirklich kritisch","Projekt unmöglich","B","Bei mehreren kritischen Pfaden müssen alle überwacht werden.",4
"Projektmanagement",2,"Projektstrukturplan (PSP) zeigt?","Zeitliche Abfolge","Hierarchische Gliederung der Aufgaben","Nur Kosten","Nur Personal","B","PSP gliedert das Projekt hierarchisch in Teilaufgaben/Arbeitspakete.",3
"Projektmanagement",3,"Earned Value Management: PV=100k€, EV=80k€, AC=90k€. Schedule Variance?","-20k€","-10k€","+10k€","0k€","A","Schedule Variance (SV) = EV - PV = 80k - 100k = -20k€ (hinter Plan).",4
"Projektmanagement",2,"Was ist die 100%-Regel beim PSP?","100% der Zeit planen","Jede Ebene muss 100% der darüberliegenden abdecken","100% Puffer einplanen","100% Ressourcenauslastung","B","Die Summe der Unterelemente muss 100% des Oberelements abdecken.",3
"Projektmanagement",3,"Critical Chain Method berücksichtigt zusätzlich?","Nur Kosten","Ressourcenverfügbarkeit","Nur Qualität","Wetter","B","Critical Chain berücksichtigt neben Abhängigkeiten auch Ressourcenkonflikte.",4
"Projektmanagement",4,"PERT-Schätzung: Optimistisch=4, Wahrscheinlich=6, Pessimistisch=14. Erwartungswert?","6","7","8","9","B","PERT = (O + 4×W + P) / 6 = (4 + 24 + 14) / 6 = 42/6 = 7",4
