"QUESTION_TEXT","OPTIONA","OPTIONB","OPTIONC","OPTIOND","CORRECT_ANSWER","CATEGORY","TOPIC","SUBTOPIC","DIFFICULTY","EXPLANATION","TAGS","TIPS","CORRECTION","SOURCE","POINTS","ACTIVE","TIMES_ANSWERED","TIMES_CORRECT"
"Was ist die 3-2-1 Backup-Regel?","3 Backups, 2 Medien, 1 externes","3 Tage, 2 Wochen, 1 Monat","3 GB, 2 TB, 1 PB","3 mal täglich","A","IT-Sicherheit","IT-Sicherheit","Backup","1","3 Kopien der Daten, auf 2 verschiedenen Medien, 1 Kopie extern.","backup,sicherheit,datensicherung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Cache einer CPU?","Kühlung","Schneller Zwischenspeicher","Grafikkarte","Netzteil","B","IT-Systeme","Hardware","CPU","1","Cache ist schneller Zwischenspeicher zwischen CPU und RAM.","cpu,cache,hardware","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bietet RAID 1?","Striping","Mirroring","Parität","Kompression","B","IT-Systeme","Hardware","RAID","2","RAID 1 spiegelt Daten auf mehrere Festplatten (Mirroring).","raid,speicher,redundanz","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist die Registry?","Dateimanager","Zentrale Konfigurationsdatenbank","Firewall","Virenscanner","B","Geschäftsprozesse","Betriebssysteme","Windows","1","Registry ist die zentrale Datenbank für Systemkonfigurationen in Windows.","windows,registry,betriebssystem","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was macht der Befehl 'chmod 755'?","Löscht Dateien","Setzt Dateirechte","Kopiert Ordner","Startet Programme","B","Geschäftsprozesse","Betriebssysteme","Linux","2","chmod ändert Dateirechte: 755 = rwxr-xr-x (Owner: alles, Group/Other: lesen+ausführen).","linux,chmod,rechte","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet IaaS?","Internet as a Service","Infrastructure as a Service","Information as a Service","Integration as a Service","B","Allgemeinwissen","Cloud Computing","Service-Modelle","1","IaaS stellt IT-Infrastruktur (Server, Speicher, Netzwerk) als Service bereit.","cloud,iaas,service","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist eine Hybrid Cloud?","Nur private Cloud","Nur public Cloud","Kombination private und public Cloud","Lokale Installation","C","Allgemeinwissen","Cloud Computing","Deployment","2","Hybrid Cloud kombiniert private und öffentliche Cloud-Ressourcen.","cloud,hybrid,deployment","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Unterschied zwischen Typ-1 und Typ-2 Hypervisor?","Kein Unterschied","Typ-1 läuft direkt auf Hardware, Typ-2 auf OS","Typ-1 ist langsamer","Typ-2 ist sicherer","B","Allgemeinwissen","Virtualisierung","Hypervisor","2","Typ-1 (Bare-Metal) läuft direkt auf Hardware, Typ-2 (Hosted) auf einem Betriebssystem.","virtualisierung,hypervisor,vmware","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was steht auf der Aktivseite der Bilanz?","Eigenkapital","Vermögen","Schulden","Gewinn","B","Geschäftsprozesse","Wirtschaft","Bilanz","1","Aktiva zeigt die Vermögenswerte, Passiva die Herkunft des Kapitals.","bilanz,buchhaltung,wirtschaft","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist lineare Abschreibung?","Variable Beträge","Gleichmäßige Verteilung","Einmalabschreibung","Keine Abschreibung","B","Geschäftsprozesse","Wirtschaft","Abschreibung","1","Bei linearer Abschreibung wird der Wert gleichmäßig über die Nutzungsdauer verteilt.","abschreibung,afa,wirtschaft","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Unterschied zwischen DELETE und TRUNCATE?","Kein Unterschied","DELETE mit WHERE möglich, TRUNCATE löscht alles","TRUNCATE ist langsamer","DELETE löscht die Tabelle","B","Anwendungsentwicklung","Datenbanken","SQL","2","DELETE kann mit WHERE eingeschränkt werden, TRUNCATE leert die komplette Tabelle.","sql,delete,truncate","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet ACID?","Atomicity, Consistency, Isolation, Durability","Access, Control, Information, Data","Automatic, Computer, Interface, Design","Analysis, Creation, Implementation, Deployment","A","Anwendungsentwicklung","Datenbanken","Transaktionen","2","ACID garantiert Datenintegrität bei Datenbanktransaktionen.","acid,transaktion,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist 2FA?","2 Firewall-Adressen","Zwei-Faktor-Authentifizierung","2 File Attachments","Second Failure Alert","B","IT-Sicherheit","IT-Sicherheit","Authentifizierung","1","2FA erhöht die Sicherheit durch zwei unabhängige Authentifizierungsfaktoren.","2fa,authentifizierung,sicherheit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Ransomware?","Kostenlose Software","Verschlüsselungs-Erpressungssoftware","Antivirus-Software","Backup-Software","B","IT-Sicherheit","IT-Sicherheit","Malware","1","Ransomware verschlüsselt Daten und fordert Lösegeld für die Entschlüsselung.","ransomware,malware,sicherheit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Unterschied zwischen RAM und ROM?","RAM ist flüchtig, ROM nicht","ROM ist schneller","RAM ist permanent","Kein Unterschied","A","IT-Systeme","Hardware","Speicher","1","RAM verliert Daten bei Stromausfall, ROM behält sie dauerhaft.","ram,rom,speicher","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist TRIM bei SSDs?","Verschlüsselung","Optimierungsbefehl für gelöschte Daten","Geschwindigkeitstest","Backup-Funktion","B","IT-Systeme","Hardware","SSD","2","TRIM informiert die SSD über gelöschte Datenblöcke zur Optimierung.","ssd,trim,speicher","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Deadlock?","Systemabsturz","Gegenseitige Blockierung von Prozessen","Virus","Backup-Fehler","B","Geschäftsprozesse","Betriebssysteme","Prozesse","2","Deadlock entsteht, wenn Prozesse gegenseitig auf Ressourcen warten.","deadlock,prozess,betriebssystem","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist journaling bei Dateisystemen?","Protokollierung von Änderungen","Datenkompression","Verschlüsselung","Defragmentierung","A","Geschäftsprozesse","Betriebssysteme","Dateisysteme","2","Journaling protokolliert Änderungen zur Wiederherstellung bei Systemausfall.","journaling,dateisystem,recovery","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Docker?","Virtualisierungsplattform für Container","Programmiersprache","Datenbank","Betriebssystem","A","Allgemeinwissen","Cloud Computing","Container","1","Docker ermöglicht das Deployment von Anwendungen in Containern.","docker,container,virtualisierung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Pod in Kubernetes?","Speichereinheit","Kleinste deploybare Einheit","Netzwerk-Interface","Backup-System","B","Allgemeinwissen","Cloud Computing","Kubernetes","2","Pod ist die kleinste Einheit in Kubernetes, kann einen oder mehrere Container enthalten.","kubernetes,pod,container","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein VM-Snapshot?","Momentaufnahme des VM-Zustands","Geschwindigkeitstest","Virenscanner","Netzwerk-Backup","A","Allgemeinwissen","Virtualisierung","Snapshot","1","Snapshot speichert den kompletten Zustand einer VM zu einem Zeitpunkt.","snapshot,vm,backup","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was zeigt der Cashflow?","Gewinn","Zahlungsmittelfluss","Umsatz","Kosten","B","Geschäftsprozesse","Wirtschaft","Cashflow","2","Cashflow zeigt den tatsächlichen Geldfluss eines Unternehmens.","cashflow,finanzen,liquidität","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Operating Leasing?","Kauf auf Raten","Miete ohne Kaufoption","Sofortkauf","Kredit","B","Geschäftsprozesse","Wirtschaft","Leasing","2","Operating Leasing ist reine Nutzungsüberlassung ohne Eigentumsübergang.","leasing,operating,miete","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Sprint Retrospective?","Sprint-Planung","Rückblick und Verbesserung","Daily Meeting","Kundenpräsentation","B","Geschäftsprozesse","Geschäftsprozesse","Agile","1","Retrospective dient der Reflexion und kontinuierlichen Verbesserung des Teams.","retrospective,scrum,agile","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was visualisiert ein Kanban-Board?","Kosten","Arbeitsfluss und Status","Mitarbeiter","Kunden","B","Geschäftsprozesse","Geschäftsprozesse","Kanban","1","Kanban-Board zeigt Aufgaben in verschiedenen Bearbeitungsstatus.","kanban,board,visualisierung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist DRY-Prinzip?","Don't Repeat Yourself","Do Repeat Yourself","Data Recovery Yearly","Direct Response Yes","A","Anwendungsentwicklung","Programmierung","Clean Code","1","DRY vermeidet Code-Duplikation durch Wiederverwendung.","dry,cleancode,prinzip","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet das S in SOLID?","Security","Single Responsibility Principle","Software","System","B","Anwendungsentwicklung","Programmierung","SOLID","2","Eine Klasse sollte nur eine Verantwortlichkeit haben.","solid,srp,oop","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Software Defined Networking?","Netzwerkvirtualisierung","Virenscanner","Backup-Software","Programmiersprache","A","Vernetzte Systeme","Netzwerktechnik","SDN","2","SDN trennt Control- und Data-Plane für flexible Netzwerkverwaltung.","sdn,netzwerk,virtualisierung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist BGP?","Border Gateway Protocol","Basic Gateway Protection","Backup Gateway Process","Binary Gateway Program","A","Vernetzte Systeme","Netzwerktechnik","BGP","2","BGP ist das Routing-Protokoll des Internets zwischen autonomen Systemen.","bgp,routing,protokoll","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Vorteil von NoSQL-Datenbanken?","Bessere Skalierbarkeit","Mehr SQL-Features","Stärkere Konsistenz","Weniger Speicherbedarf","A","Anwendungsentwicklung","Datenbanken","NoSQL","2","NoSQL-Datenbanken skalieren horizontal besser als relationale Datenbanken.","nosql,skalierung,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Nachteil von zu vielen Indizes?","Schnellere Abfragen","Langsamere Schreibvorgänge","Weniger Speicher","Bessere Sicherheit","B","Anwendungsentwicklung","Datenbanken","Index","2","Indizes müssen bei INSERT/UPDATE/DELETE aktualisiert werden.","index,performance,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist das Zero Trust Modell?","Vertraue niemandem","Vertraue allen","Vertraue nur internen","Vertraue nur externen","A","IT-Sicherheit","IT-Sicherheit","Zero Trust","2","Zero Trust: Kein implizites Vertrauen, kontinuierliche Verifizierung.","zerotrust,sicherheit,modell","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Spear Phishing?","Massen-E-Mails","Gezielte Angriffe auf Einzelpersonen","Virus","Firewall","B","IT-Sicherheit","IT-Sicherheit","Phishing","2","Spear Phishing sind personalisierte Angriffe auf spezifische Ziele.","phishing,spear,angriff","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Wofür steht CUDA?","Compute Unified Device Architecture","Computer User Data Access","Central Unit Data Array","Core Update Driver Application","A","IT-Systeme","Hardware","GPU","2","CUDA ist NVIDIAs Plattform für GPU-Computing.","cuda,gpu,nvidia","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Vorteil von Wasserkühlung?","Billiger","Bessere Wärmeableitung","Weniger Wartung","Leiser bei gleicher Leistung","B","IT-Systeme","Hardware","Kühlung","2","Wasser hat höhere Wärmekapazität als Luft.","kühlung,wasser,hardware","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Paravirtualisierung?","Volle Virtualisierung","Modifiziertes Gast-OS","Container","Emulation","B","Geschäftsprozesse","Betriebssysteme","Virtualisierung","3","Bei Paravirtualisierung weiß das Gast-OS, dass es virtualisiert ist.","paravirtualisierung,vm,hypervisor","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Microkernel?","Großer Kernel","Minimaler Kernel mit Basisfunktionen","Windows-Kernel","Linux-Kernel","B","Geschäftsprozesse","Betriebssysteme","Kernel","2","Microkernel lagert viele Funktionen in User-Space aus.","microkernel,kernel,architektur","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Function as a Service (FaaS)?","Server-Management","Event-getriebene Funktionsausführung","Datenbank-Service","Backup-Service","B","Allgemeinwissen","Cloud Computing","Serverless","2","FaaS führt Code nur bei Bedarf aus, ohne Server-Verwaltung.","faas,serverless,cloud","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Content Delivery Network?","Verteiltes Cache-Netzwerk","Soziales Netzwerk","VPN","Firewall","A","Allgemeinwissen","Cloud Computing","CDN","2","CDN verteilt Inhalte geografisch für schnellere Auslieferung.","cdn,cache,performance","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Live Migration?","VM-Verschiebung im laufenden Betrieb","Backup","Update","Neustart","A","Allgemeinwissen","Virtualisierung","Live Migration","2","Live Migration verschiebt VMs ohne Downtime zwischen Hosts.","migration,vm,verfügbarkeit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Nearshoring?","Verlagerung ins Ausland","Verlagerung in geografisch nahe Länder","Insourcing","Lokale Produktion","B","Geschäftsprozesse","Wirtschaft","Outsourcing","2","Nearshoring nutzt geografische und kulturelle Nähe.","nearshoring,outsourcing,strategie","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist eine Floating License?","Feste Benutzerlizenz","Concurrent-Use-Lizenz","Testlizenz","Kostenlose Lizenz","B","Geschäftsprozesse","Wirtschaft","Lizenzmodelle","2","Floating License: Begrenzte Anzahl gleichzeitiger Nutzer.","lizenz,floating,software","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist CI/CD?","Continuous Integration/Deployment","Computer Interface/Design","Control Input/Data","Certificate ID","A","Geschäftsprozesse","Geschäftsprozesse","DevOps","1","CI/CD automatisiert Build, Test und Deployment.","cicd,devops,automation","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Kaizen?","Japanisches Essen","Kontinuierliche Verbesserung","Projektmanagement","Programmiersprache","B","Geschäftsprozesse","Geschäftsprozesse","Lean","1","Kaizen = kontinuierliche Verbesserung in kleinen Schritten.","kaizen,lean,verbesserung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist das Observer Pattern?","Überwachung","Publish-Subscribe Mechanismus","Singleton","Factory","B","Anwendungsentwicklung","Programmierung","Patterns","2","Observer benachrichtigt abhängige Objekte über Zustandsänderungen.","observer,pattern,design","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Promise in JavaScript?","Variable","Asynchrones Ergebnis","Schleife","Klasse","B","Anwendungsentwicklung","Programmierung","Async","2","Promise repräsentiert zukünftigen Wert einer asynchronen Operation.","promise,async,javascript","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Network Slicing?","Netzwerk-Backup","Virtuelle Netzwerk-Partitionierung","Kabelschneiden","Router-Reset","B","Vernetzte Systeme","Netzwerktechnik","5G","3","Network Slicing teilt physisches Netz in virtuelle Netze.","5g,slicing,netzwerk","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist MQTT?","Message Queuing Telemetry Transport","Mail Query Transfer Tool","Multi Query Test Tool","Management Quality Testing","A","Vernetzte Systeme","Netzwerktechnik","IoT","2","MQTT ist ein leichtgewichtiges Messaging-Protokoll für IoT.","mqtt,iot,protokoll","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Hadoop?","Datenbank","Framework für verteilte Datenverarbeitung","Programmiersprache","Betriebssystem","B","Anwendungsentwicklung","Datenbanken","Big Data","2","Hadoop ermöglicht verteilte Verarbeitung großer Datenmengen.","hadoop,bigdata,distributed","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Wofür eignen sich Graph-Datenbanken?","Tabellarische Daten","Beziehungen und Netzwerke","Bilder","Videos","B","Anwendungsentwicklung","Datenbanken","Graph DB","2","Graph-DBs modellieren effizient Beziehungen zwischen Entitäten.","graphdb,beziehungen,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist White Box Testing?","Test ohne Codekenntnisse","Test mit vollständigen Codekenntnissen","Automatischer Test","Performance Test","B","IT-Sicherheit","IT-Sicherheit","Pentesting","2","White Box Testing erfolgt mit Kenntnis der internen Struktur.","whitebox,testing,pentest","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet IAM?","Identity and Access Management","Internet Access Mode","Internal Audit Management","Information Asset Management","A","IT-Sicherheit","IT-Sicherheit","IAM","1","IAM verwaltet digitale Identitäten und Zugriffsrechte.","iam,identity,access","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist PCIe 4.0?","Netzwerkprotokoll","Schnittstellenstandard für Erweiterungskarten","CPU-Typ","RAM-Standard","B","IT-Systeme","Hardware","PCIe","2","PCIe 4.0 verdoppelt Bandbreite gegenüber PCIe 3.0.","pcie,schnittstelle,hardware","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Vorteil von NVMe gegenüber SATA?","Billiger","Höhere Geschwindigkeit und niedrigere Latenz","Mehr Speicher","Bessere Kompatibilität","B","IT-Systeme","Hardware","NVMe","2","NVMe nutzt PCIe für deutlich höhere Übertragungsraten.","nvme,ssd,performance","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Unterschied zwischen Container und VM?","Container teilen sich Kernel","VMs sind schneller","Container sind sicherer","Kein Unterschied","A","Geschäftsprozesse","Betriebssysteme","Container","2","Container teilen sich OS-Kernel, VMs haben eigenen Kernel.","container,vm,virtualisierung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Round-Robin Scheduling?","Zufällige Prozessauswahl","Zeitscheibenverfahren","Prioritätsbasiert","First-Come-First-Serve","B","Geschäftsprozesse","Betriebssysteme","Scheduling","2","Round-Robin teilt CPU-Zeit in gleiche Zeitscheiben auf.","roundrobin,scheduling,prozess","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Edge Computing?","Cloud-Backup","Datenverarbeitung am Netzwerkrand","Zentrale Verarbeitung","Verschlüsselung","B","Allgemeinwissen","Cloud Computing","Edge Computing","2","Edge Computing verarbeitet Daten nahe der Quelle.","edge,computing,latenz","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist eine Multi-Cloud-Strategie?","Eine Cloud","Mehrere Cloud-Provider","Private Cloud","On-Premise","B","Allgemeinwissen","Cloud Computing","Multi-Cloud","2","Multi-Cloud nutzt Services verschiedener Cloud-Anbieter.","multicloud,strategie,cloud","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist VMware vMotion?","Backup-Tool","Live-Migration von VMs","Monitoring","Firewall","B","Allgemeinwissen","Virtualisierung","vMotion","2","vMotion ermöglicht Live-Migration zwischen ESXi-Hosts.","vmotion,vmware,migration","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet Total Cost of Ownership?","Nur Anschaffungskosten","Gesamtkosten über Lebenszyklus","Wartungskosten","Lizenzkosten","B","Geschäftsprozesse","Wirtschaft","TCO","2","TCO umfasst alle Kosten von Anschaffung bis Entsorgung.","tco,kosten,wirtschaftlichkeit","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Time & Material Vertrag?","Festpreis","Abrechnung nach Aufwand","Erfolgshonorar","Pauschale","B","Geschäftsprozesse","Wirtschaft","Agile Contracts","2","T&M rechnet tatsächlichen Zeit- und Materialaufwand ab.","vertrag,agile,abrechnung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Six Sigma?","Programmiersprache","Qualitätsmanagement-Methode","Projektmanagement","Verschlüsselung","B","Geschäftsprozesse","Geschäftsprozesse","Six Sigma","2","Six Sigma reduziert Fehler auf 3,4 pro Million.","sixsigma,qualität,prozess","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist die erste Phase im Design Thinking?","Testen","Verstehen/Empathie","Ideen finden","Prototyp bauen","B","Geschäftsprozesse","Geschäftsprozesse","Design Thinking","2","Design Thinking beginnt mit Problemverständnis und Empathie.","designthinking,innovation,methode","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist eine Pure Function?","Funktion mit Seiteneffekten","Funktion ohne Seiteneffekte","Hauptfunktion","Rekursive Funktion","B","Anwendungsentwicklung","Programmierung","Functional","2","Pure Functions haben keine Seiteneffekte und gleiches Input = gleiches Output.","functional,pure,programmierung","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was sind React Hooks?","Funktionen für State in Functional Components","Debugging-Tools","Routing","Datenbank-Verbindung","A","Anwendungsentwicklung","Programmierung","React","2","Hooks ermöglichen State und Lifecycle in funktionalen Komponenten.","react,hooks,javascript","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist neu bei WiFi 6E?","Höhere Geschwindigkeit","6 GHz Band","Bessere Verschlüsselung","Mehr Reichweite","B","Vernetzte Systeme","Netzwerktechnik","WiFi 6E","2","WiFi 6E erweitert WiFi 6 um das 6 GHz Frequenzband.","wifi6e,wlan,frequenz","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist MPLS?","Multiprotocol Label Switching","Multiple Protocol Link Service","Main Protocol Layer Security","Management Protocol Level System","A","Vernetzte Systeme","Netzwerktechnik","MPLS","3","MPLS beschleunigt Routing durch Label statt IP-Lookup.","mpls,routing,performance","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was besagt das CAP-Theorem?","Consistency, Availability, Partition Tolerance - wähle 2","Create, Alter, Procedure","Cache, Application, Performance","Cluster, Availability, Performance","A","Anwendungsentwicklung","Datenbanken","CAP-Theorem","3","Verteilte Systeme können maximal 2 von 3 CAP-Eigenschaften garantieren.","cap,theorem,distributed","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist Database Sharding?","Backup-Strategie","Horizontale Partitionierung","Verschlüsselung","Kompression","B","Anwendungsentwicklung","Datenbanken","Sharding","2","Sharding verteilt Daten horizontal auf mehrere Server.","sharding,skalierung,datenbank","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was bedeutet SIEM?","Security Information and Event Management","System Internal Error Management","Software Installation Environment Manager","Server Infrastructure Equipment Monitor","A","IT-Sicherheit","IT-Sicherheit","SIEM","2","SIEM sammelt und analysiert Sicherheitsereignisse zentral.","siem,security,monitoring","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist OAuth 2.0?","Verschlüsselungsprotokoll","Autorisierungs-Framework","Authentifizierungs-Protokoll","VPN-Protokoll","B","IT-Sicherheit","IT-Sicherheit","OAuth","2","OAuth 2.0 ermöglicht sichere API-Autorisierung für Drittanbieter.","oauth,autorisierung,api","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist ein Qubit?","Quantum Bit","Quick Bit","Quality Bit","Query Bit","A","IT-Systeme","Hardware","Quantum Computing","3","Qubit kann im Gegensatz zu klassischen Bits Superpositionen annehmen.","qubit,quantum,computing","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
"Was ist der Vorteil von ARM-Prozessoren?","Höhere Leistung","Bessere Energieeffizienz","Mehr Kerne","Höhere Taktrate","B","IT-Systeme","Hardware","ARM","2","ARM-Architektur ist auf Energieeffizienz optimiert.","arm,cpu,effizienz","","","ALL_AP1_QUESTIONS","10","TRUE","0","0"
