topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Projektmanagement","Netzplan","Was ist ein Meilenstein im Netzplan?","Lange Aktivität","Ereignis ohne Dauer","Kritische Aktivität","Pufferzeit","B","1","Meilensteine sind wichtige Ereignisse/Ergebnisse ohne eigene Dauer.","netzplan,meilenstein,projekt","Markiert wichtige Projektereignisse","Dauer = 0, z.B. 'Design abgeschlossen'"
"Projektmanagement","Netzplan","Was bedeutet eine Anordnungsbeziehung Ende-Anfang?","Gleichzeitiger Start","Nachfolger startet nach Ende Vorgänger","Gleichzeitiges Ende","Überlappung möglich","B","1","EA: Nachfolger kann erst beginnen, wenn Vorgänger beendet ist.","netzplan,anordnung,beziehung","Häufigste Beziehungsart","Standard in den meisten Projekten"
"OSI-Modell","Layer 1","Welche Komponente arbeitet auf Layer 1?","Switch","Hub","Router","Firewall","B","1","Hub arbeitet auf Physical Layer, verstärkt nur elektrische Signale.","osi,layer1,hub","Keine Intelligenz, nur Signalverstärkung","Repeater und Hub auf Layer 1"
"OSI-Modell","Layer 2","Was wird auf Layer 2 adressiert?","IP-Adressen","MAC-Adressen","Ports","URLs","B","1","Data Link Layer nutzt MAC-Adressen zur Adressierung.","osi,layer2,mac","48 Bit Hardware-Adressen","Beispiel: AA:BB:CC:DD:EE:FF"
"OSI-Modell","Layer 3","Welches Protokoll arbeitet hauptsächlich auf Layer 3?","TCP","IP","HTTP","Ethernet","B","1","IP (Internet Protocol) ist das Hauptprotokoll auf Network Layer.","osi,layer3,ip","Routing zwischen Netzwerken","IPv4 und IPv6 auf Layer 3"
"OSI-Modell","Layer 4","Was regelt Layer 4?","Verschlüsselung","Ende-zu-Ende Verbindungen","Routing","Bitübertragung","B","2","Transport Layer regelt zuverlässige Ende-zu-Ende Verbindungen.","osi,layer4,transport","TCP und UDP auf dieser Schicht","Ports und Segmentierung"
"OSI-Modell","Layer 7","Welche Protokolle arbeiten auf Layer 7?","TCP/UDP","IP/ICMP","HTTP/FTP/SMTP","Ethernet/WiFi","C","1","Application Layer enthält anwendungsnahe Protokolle.","osi,layer7,application","Direkte Interaktion mit Anwendungen","HTTP, FTP, SMTP, DNS auf Layer 7"
"Datenbanken","SQL","Was macht der JOIN-Befehl?","Löscht Tabellen","Verbindet Tabellen","Erstellt Index","Sichert Daten","B","1","JOIN verknüpft Daten aus mehreren Tabellen basierend auf Beziehungen.","sql,join,datenbank","Verschiedene JOIN-Typen verfügbar","INNER, LEFT, RIGHT, FULL JOIN"
"Datenbanken","SQL","Was ist der Unterschied zwischen WHERE und HAVING?","Kein Unterschied","WHERE vor GROUP BY, HAVING nach GROUP BY","HAVING schneller","WHERE nur für Zahlen","B","2","WHERE filtert Zeilen, HAVING filtert gruppierte Ergebnisse.","sql,where,having","HAVING für aggregierte Werte","WHERE vor Gruppierung, HAVING nach Gruppierung"
"Datenbanken","SQL","Was macht DISTINCT?","Sortiert Daten","Entfernt Duplikate","Zählt Zeilen","Löscht Daten","B","1","DISTINCT zeigt nur eindeutige Werte ohne Duplikate.","sql,distinct,duplikate","Nützlich für eindeutige Listen","SELECT DISTINCT spalte FROM tabelle"
"Datenbanken","SQL","Was ist ein Primary Key?","Beliebiger Schlüssel","Eindeutiger Identifikator","Fremdschlüssel","Index","B","1","Primary Key identifiziert jeden Datensatz eindeutig in einer Tabelle.","sql,primary-key,datenbank","Kann nicht NULL sein","Automatisch indiziert"
"Datenbanken","SQL","Was macht CASCADE DELETE?","Verhindert Löschen","Löscht abhängige Datensätze mit","Erstellt Backup","Warnt vor Löschen","B","2","CASCADE DELETE löscht automatisch abhängige Datensätze in Beziehungen.","sql,cascade,delete","Vorsicht bei Verwendung","Kann Datenverlust verursachen"
"Sicherheit","Verschlüsselung","Was ist der Unterschied zwischen symmetrischer und asymmetrischer Verschlüsselung?","Kein Unterschied","Symmetrisch: ein Schlüssel, Asymmetrisch: Schlüsselpaar","Symmetrisch langsamer","Asymmetrisch unsicherer","B","2","Symmetrisch nutzt einen Schlüssel, asymmetrisch ein Schlüsselpaar.","verschlüsselung,symmetrisch,asymmetrisch","AES symmetrisch, RSA asymmetrisch","Symmetrisch schneller, asymmetrisch sicherer für Schlüsselaustausch"
"Sicherheit","Hashing","Was ist eine Hash-Funktion?","Verschlüsselung","Einweg-Funktion","Kompression","Backup","B","2","Hash-Funktionen erzeugen Prüfsummen, sind nicht umkehrbar.","hash,sicherheit,prüfsumme","MD5, SHA-256 sind Hash-Funktionen","Passwörter werden gehasht gespeichert"
"Sicherheit","Zertifikate","Was prüft ein SSL/TLS-Zertifikat?","Geschwindigkeit","Identität und Verschlüsselung","Virenschutz","Speicherplatz","B","1","SSL/TLS-Zertifikate bestätigen Identität und ermöglichen Verschlüsselung.","ssl,tls,zertifikat","HTTPS nutzt SSL/TLS","Grünes Schloss im Browser"
"Sicherheit","Firewall","Was ist der Unterschied zwischen Stateful und Stateless Firewall?","Kein Unterschied","Stateful merkt sich Verbindungen","Stateless ist sicherer","Stateful ist langsamer","B","2","Stateful Firewalls verfolgen Verbindungszustände, Stateless prüft nur Regeln.","firewall,stateful,stateless","Stateful intelligenter aber ressourcenintensiver","Stateful erkennt Kontext von Paketen"
"Sicherheit","Angriffe","Was ist ein DDoS-Angriff?","Virus","Verteilte Überlastung","Phishing","Trojaner","B","1","Distributed Denial of Service überlastet Systeme mit vielen Anfragen.","ddos,angriff,sicherheit","Nutzt Botnetze","Ziel: Dienst nicht verfügbar machen"
"Cloud","Services","Was ist der Unterschied zwischen IaaS, PaaS und SaaS?","Kein Unterschied","Verschiedene Service-Level","Nur Preisunterschiede","Nur für verschiedene Branchen","B","2","IaaS: Infrastruktur, PaaS: Plattform, SaaS: Software als Service.","cloud,iaas,paas,saas","AWS EC2=IaaS, Heroku=PaaS, Office365=SaaS","Abstraktionsebenen der Cloud-Services"
"Cloud","Skalierung","Was bedeutet horizontale Skalierung?","Mehr RAM/CPU","Mehr Server hinzufügen","Bessere Software","Schnelleres Netzwerk","B","1","Horizontale Skalierung fügt mehr Server hinzu statt einzelne zu verstärken.","cloud,skalierung,horizontal","Scale-out genannt","Besser für Cloud-Umgebungen"
"Cloud","Container","Was ist Docker?","Virtualisierung","Container-Plattform","Programmiersprache","Datenbank","B","1","Docker ist eine Plattform für Container-Virtualisierung.","docker,container,virtualisierung","Leichtgewichtiger als VMs","Teilt Kernel mit Host"
"Cloud","Kubernetes","Was macht Kubernetes?","Programmierung","Container-Orchestrierung","Datensicherung","Virenschutz","B","2","Kubernetes orchestriert und verwaltet Container-Deployments.","kubernetes,container,orchestrierung","K8s als Abkürzung","Automatisches Scaling und Healing"
"Cloud","Verfügbarkeit","Was bedeutet 99.9% Verfügbarkeit?","8.76 Stunden Ausfall/Jahr","87.6 Stunden Ausfall/Jahr","876 Stunden Ausfall/Jahr","Keine Ausfälle","A","2","99.9% = max. 8.76 Stunden Ausfall pro Jahr.","verfügbarkeit,sla,uptime","Three Nines genannt","99.99% = Four Nines = 52 Minuten/Jahr"
"Virtualisierung","Hypervisor","Was ist ein Type-1 Hypervisor?","Läuft auf OS","Läuft direkt auf Hardware","Nur für Linux","Nur für Windows","B","2","Type-1 (Bare-Metal) läuft direkt auf Hardware ohne Host-OS.","hypervisor,virtualisierung,type1","VMware ESXi, Hyper-V Server","Effizienter als Type-2"
"Virtualisierung","VMs","Was ist der Hauptunterschied zwischen VM und Container?","Kein Unterschied","VMs haben eigenes OS, Container teilen Kernel","Container sind größer","VMs sind schneller","B","2","VMs virtualisieren Hardware komplett, Container nur Anwendungsebene.","vm,container,virtualisierung","Container starten schneller","VMs isolierter, Container effizienter"
"Virtualisierung","Snapshot","Was ist ein VM-Snapshot?","Foto des Bildschirms","Zustandssicherung der VM","Geschwindigkeitsmessung","Netzwerkanalyse","B","1","Snapshot speichert kompletten VM-Zustand für spätere Wiederherstellung.","snapshot,vm,backup","Nicht als Langzeit-Backup geeignet","Belegt zusätzlichen Speicher"
"Virtualisierung","Migration","Was ist Live-Migration?","VM-Installation","VM-Verschiebung ohne Downtime","VM-Löschung","VM-Kopie","B","2","Live-Migration verschiebt laufende VMs ohne Unterbrechung auf anderen Host.","migration,vm,live","vMotion bei VMware","Benötigt gemeinsamen Speicher"
"Virtualisierung","Ressourcen","Was ist Memory Ballooning?","RAM-Erweiterung","Dynamische RAM-Verwaltung","RAM-Defekt","RAM-Test","B","3","Ballooning gibt ungenutzten VM-RAM bei Bedarf an andere VMs.","memory,ballooning,ram","VMware Tools/Guest Additions nötig","Treiber in Guest-OS erforderlich"
"Hardware","CPU","Was ist Hyperthreading?","Zwei CPUs","Virtuelle CPU-Kerne","Übertaktung","Kühlung","B","2","Hyperthreading lässt einen physischen Kern als zwei logische erscheinen.","cpu,hyperthreading,prozessor","Intel-Technologie","Nicht doppelte Leistung"
"Hardware","RAM","Was ist der Unterschied zwischen DDR4 und DDR5?","Nur Geschwindigkeit","DDR5 schneller und effizienter","DDR4 ist neuer","Kein Unterschied","B","1","DDR5 bietet höhere Geschwindigkeit und bessere Energieeffizienz.","ram,ddr4,ddr5","DDR5 ab 4800 MHz","Nicht abwärtskompatibel"
"Hardware","Storage","Was ist NVMe?","Netzwerkprotokoll","Schnelles SSD-Interface","RAM-Typ","CPU-Technologie","B","2","NVMe ist optimiertes Protokoll für SSDs über PCIe.","nvme,ssd,storage","Schneller als SATA","Direkte CPU-Anbindung"
"Hardware","RAID","Was bietet RAID 5?","Nur Spiegelung","Striping mit Parität","Keine Redundanz","Nur Geschwindigkeit","B","2","RAID 5 verteilt Daten und Parität über mindestens 3 Platten.","raid,raid5,storage","Eine Platte darf ausfallen","Kapazität = (n-1) × Plattengröße"
"Hardware","RAID","Was ist RAID 10?","RAID 1+0","Zehn Platten","RAID Level 10","Keine Redundanz","A","2","RAID 10 kombiniert Striping (RAID 0) mit Spiegelung (RAID 1).","raid,raid10,storage","Mindestens 4 Platten","Hohe Performance und Redundanz"
"Linux","Befehle","Was macht der Befehl 'chmod 755'?","Löscht Datei","Setzt Berechtigungen","Kopiert Datei","Verschiebt Datei","B","1","chmod 755 = rwxr-xr-x (Owner: alles, Group/Others: lesen+ausführen).","linux,chmod,berechtigungen","7=rwx, 5=r-x, 4=r--","Owner-Group-Others"
"Linux","Befehle","Was zeigt 'ps aux'?","Passwörter","Alle Prozesse","Netzwerk","Festplatten","B","1","ps aux zeigt alle laufenden Prozesse mit Details.","linux,ps,prozesse","a=alle, u=user-orientiert, x=auch ohne Terminal","PID, CPU%, MEM% werden angezeigt"
"Linux","Befehle","Was macht 'grep'?","Löscht Zeilen","Sucht Textmuster","Sortiert Dateien","Komprimiert Daten","B","1","grep durchsucht Text nach Mustern/regulären Ausdrücken.","linux,grep,suche","Global Regular Expression Print","grep 'muster' datei.txt"
"Linux","System","Was ist systemd?","Dateisystem","Init-System","Texteditor","Compiler","B","2","systemd ist modernes Init-System und Service-Manager für Linux.","linux,systemd,init","Ersetzt SysV-Init","systemctl für Service-Verwaltung"
"Linux","Dateisystem","Was ist ein Inode?","Internet-Knoten","Datei-Metadaten-Struktur","Netzwerkprotokoll","CPU-Befehl","B","2","Inode speichert Metadaten einer Datei (außer Namen).","linux,inode,dateisystem","Enthält Berechtigungen, Größe, Timestamps","Dateiname in Directory gespeichert"
"Windows","Registry","Was ist die Windows Registry?","Dateisystem","Zentrale Konfigurationsdatenbank","Antivirusprogramm","Backup-Tool","B","1","Registry speichert System- und Anwendungskonfigurationen.","windows,registry,konfiguration","HKEY_LOCAL_MACHINE, HKEY_CURRENT_USER","regedit zum Bearbeiten"
"Windows","PowerShell","Was ist PowerShell?","Nur Kommandozeile","Objektorientierte Shell","Texteditor","Compiler","B","2","PowerShell ist objektbasierte Kommandozeile und Skriptsprache.","windows,powershell,shell","Arbeitet mit .NET-Objekten","Cmdlets im Verb-Noun Format"
"Windows","Active Directory","Was ist Active Directory?","Dateiverwaltung","Verzeichnisdienst","Antivirussoftware","Backup-Lösung","B","1","AD ist Microsofts Verzeichnisdienst für Netzwerkverwaltung.","windows,active-directory,ldap","Nutzt LDAP-Protokoll","Verwaltet Benutzer, Computer, Gruppen"
"Windows","Gruppenrichtlinien","Was sind GPOs?","Grafikeinstellungen","Gruppenrichtlinienobjekte","Programmiersprache","Dateitypen","B","2","Group Policy Objects konfigurieren Windows-Systeme zentral.","windows,gpo,richtlinien","Vererbt über AD-Struktur","Computer- und Benutzerkonfiguration"
"Windows","Hyper-V","Was ist Hyper-V?","Grafikbeschleuniger","Microsofts Hypervisor","Dateisystem","Programmiersprache","B","1","Hyper-V ist Microsofts Virtualisierungsplattform.","windows,hyper-v,virtualisierung","Type-1 Hypervisor","Integriert in Windows Server/10/11 Pro"
"Monitoring","Metriken","Was misst CPU Load Average?","Temperatur","Durchschnittliche Last","Taktfrequenz","Cache-Größe","B","2","Load Average zeigt durchschnittliche Systemlast über Zeit.","monitoring,load,cpu","1, 5, 15 Minuten Durchschnitt","Wert > Kernanzahl = Überlast"
"Monitoring","Tools","Was macht Nagios?","Programmierung","Infrastruktur-Monitoring","Datensicherung","Virenscan","B","1","Nagios überwacht IT-Infrastruktur und alarmiert bei Problemen.","monitoring,nagios,überwachung","Open-Source Monitoring","Plugins für verschiedene Checks"
"Monitoring","Protokolle","Was ist SNMP?","E-Mail-Protokoll","Netzwerk-Management-Protokoll","Dateisystem","Verschlüsselung","B","2","Simple Network Management Protocol für Geräteverwaltung.","snmp,monitoring,protokoll","UDP Port 161","MIBs definieren Datenstruktur"
"Monitoring","Logs","Was ist Syslog?","Systemprotokoll-Standard","Dateisystem","Programmiersprache","Datenbank","A","1","Syslog ist Standard für Ereignisprotokollierung in Unix/Linux.","syslog,monitoring,logs","UDP/TCP Port 514","Severity Level 0-7"
"Monitoring","APM","Was bedeutet Application Performance Monitoring?","Antivirus Protection","Anwendungsleistungsüberwachung","Automatic Program Management","Access Permission Monitor","B","2","APM überwacht Performance und Verfügbarkeit von Anwendungen.","apm,monitoring,performance","End-to-End Transaktionsverfolgung","Identifiziert Bottlenecks"
"DevOps","CI/CD","Was bedeutet CI/CD?","Continuous Integration/Deployment","Computer Interface/Design","Code Inspection/Debug","Client Install/Delete","A","1","CI/CD automatisiert Build, Test und Deployment von Software.","cicd,devops,automation","Jenkins, GitLab CI, GitHub Actions","Pipeline-basierte Automatisierung"
"DevOps","Git","Was macht 'git pull'?","Löscht Änderungen","Holt und merged Änderungen","Erstellt Branch","Pushed Änderungen","B","1","git pull = git fetch + git merge, holt Remote-Änderungen.","git,pull,versionierung","Aktualisiert lokalen Branch","Kann Merge-Konflikte erzeugen"
"DevOps","Docker","Was ist ein Dockerfile?","Dokumentation","Build-Anleitung für Container","Konfigurationsdatei","Backup-Datei","B","1","Dockerfile enthält Instruktionen zum Erstellen eines Docker-Images.","docker,dockerfile,container","FROM, RUN, COPY, CMD Befehle","Schichtbasierter Aufbau"
"DevOps","Ansible","Was ist Ansible?","Programmiersprache","Automatisierungstool","Datenbank","Webserver","B","2","Ansible automatisiert IT-Konfiguration und Deployment.","ansible,automation,devops","Agentless über SSH","YAML-basierte Playbooks"
"DevOps","Terraform","Was macht Terraform?","Testing","Infrastructure as Code","Monitoring","Backup","B","2","Terraform provisioniert Infrastruktur deklarativ als Code.","terraform,iac,devops","Multi-Cloud fähig","HCL-Konfigurationssprache"
"Agile","Scrum","Was ist ein Sprint?","Marathon","Feste Entwicklungsiteration","Fehler","Meeting","B","1","Sprint ist timeboxed Iteration in Scrum (meist 2-4 Wochen).","scrum,sprint,agile","Endet mit Review und Retrospektive","Liefert potentiell auslieferbares Inkrement"
"Agile","Scrum","Wer ist der Product Owner?","Entwickler","Verantwortlicher für Product Backlog","Scrum Master","Kunde","B","1","Product Owner priorisiert und verwaltet Product Backlog.","scrum,product-owner,rolle","Maximiert Produktwert","Einzige Quelle für Requirements"
"Agile","Scrum","Was macht der Scrum Master?","Programmiert","Unterstützt Team und Prozess","Definiert Requirements","Testet Software","B","1","Scrum Master coached Team und beseitigt Hindernisse.","scrum,master,rolle","Servant Leader","Schützt Team vor Störungen"
"Agile","Kanban","Was ist ein Kanban-Board?","Spielbrett","Visualisierung des Workflows","Datenbank","Programmiersprache","B","1","Kanban-Board zeigt Arbeitsstatus in Spalten (To-Do, In Progress, Done).","kanban,board,agile","Limitiert Work in Progress","Transparenz über Arbeitsfluss"
"Agile","DevOps","Was ist DevOps?","Entwicklungstool","Kultur und Praktiken","Programmiersprache","Betriebssystem","B","2","DevOps verbindet Development und Operations für schnellere Delivery.","devops,agile,kultur","Automatisierung zentral","Continuous Everything"
"Testing","Unit Tests","Was testet ein Unit Test?","Gesamtes System","Einzelne Funktionen/Methoden","Benutzeroberfläche","Performance","B","1","Unit Tests prüfen kleinste Einheiten isoliert.","testing,unit,test","Schnell und automatisiert","Basis der Testpyramide"
"Testing","Integration Tests","Was prüfen Integrationstests?","Einzelne Funktionen","Zusammenspiel von Komponenten","Nur UI","Nur Performance","B","2","Integrationstests prüfen Interaktion zwischen Modulen.","testing,integration,test","Aufwändiger als Unit Tests","Findet Schnittstellenfehler"
"Testing","E2E Tests","Was sind End-to-End Tests?","Unit Tests","Tests kompletter Workflows","Nur Backend-Tests","Nur Frontend-Tests","B","2","E2E Tests prüfen komplette Anwendungsszenarien aus Nutzersicht.","testing,e2e,test","Langsam aber realistisch","Selenium, Cypress für Web"
"Testing","TDD","Was bedeutet Test-Driven Development?","Tests nach Entwicklung","Tests vor Implementation","Keine Tests","Nur manuelle Tests","B","2","TDD: Erst Test schreiben, dann Code bis Test grün.","tdd,testing,development","Red-Green-Refactor Zyklus","Verbessert Code-Design"
"Testing","Coverage","Was ist Code Coverage?","Fehleranzahl","Prozent getesteten Codes","Codezeilen","Performance","B","1","Code Coverage misst, wieviel Code von Tests ausgeführt wird.","testing,coverage,metrik","100% nicht immer sinnvoll","Branch vs Line Coverage"
"Datenbanken","NoSQL","Was charakterisiert NoSQL-Datenbanken?","Nur SQL","Nicht-relationale Struktur","Langsamer als SQL","Keine Persistenz","B","2","NoSQL = Not Only SQL, flexible Datenmodelle ohne festes Schema.","nosql,datenbank,schemalos","MongoDB, Redis, Cassandra","Horizontal skalierbar"
"Datenbanken","ACID","Was bedeutet ACID?","Atomicity, Consistency, Isolation, Durability","Vier Säuren","Analyse-Tool","Programmiersprache","A","2","ACID garantiert Transaktionssicherheit in Datenbanken.","acid,datenbank,transaktion","Atomicity: Alles oder nichts","Relationale DBs sind ACID"
"Datenbanken","CAP","Was besagt das CAP-Theorem?","Consistency, Availability, Partition Tolerance - nur 2 von 3","Alle drei immer möglich","Performance-Regel","Sicherheitskonzept","A","3","CAP: Verteilte Systeme können maximal 2 von 3 Eigenschaften garantieren.","cap,theorem,distributed","Trade-offs bei verteilten Systemen","CP oder AP, nie CA in Praxis"
"Datenbanken","Index","Was macht ein Datenbankindex?","Verlangsamt Abfragen","Beschleunigt Suche","Löscht Daten","Sichert Daten","B","1","Index beschleunigt Datenzugriff wie Inhaltsverzeichnis.","index,datenbank,performance","Trade-off: Schreibgeschwindigkeit","B-Tree häufigster Typ"
"Datenbanken","Sharding","Was ist Database Sharding?","Backup-Methode","Horizontale Partitionierung","Verschlüsselung","Kompression","B","3","Sharding verteilt Daten auf mehrere Datenbankserver.","sharding,datenbank,skalierung","Ermöglicht massive Skalierung","Komplexität steigt"
"API","REST","Was sind REST-Prinzipien?","Stateless, Resource-based, HTTP-Verben","Nur GET/POST","Immer JSON","Nur XML","A","2","REST nutzt HTTP-Methoden für CRUD-Operationen auf Ressourcen.","rest,api,http","GET=Read, POST=Create, PUT=Update, DELETE=Delete","Stateless = kein Sitzungszustand"
"API","GraphQL","Was ist der Vorteil von GraphQL?","Schneller als REST","Client bestimmt Datenstruktur","Einfacher als REST","Mehr Sicherheit","B","2","GraphQL ermöglicht präzise Abfragen nur benötigter Daten.","graphql,api,query","Verhindert Over/Under-Fetching","Single Endpoint"
"API","WebSocket","Wann nutzt man WebSockets?","Für Dateispeicherung","Für bidirektionale Echtzeitkommunikation","Nur für Downloads","Nur für Uploads","B","2","WebSockets ermöglichen persistente Vollduplex-Verbindungen.","websocket,api,realtime","Chat, Live-Updates, Gaming","Upgrade von HTTP-Verbindung"
"API","OAuth","Was ist OAuth 2.0?","Verschlüsselungsstandard","Autorisierungsframework","Programmiersprache","Datenbank","B","2","OAuth 2.0 ermöglicht Zugriffsdelegation ohne Passwortweiterleitung.","oauth,api,authorization","'Login mit Google/Facebook'","Access Tokens statt Passwörter"
"API","JWT","Was ist ein JWT?","Java Web Tool","JSON Web Token","JavaScript Test","Joint Working Team","B","2","JWT ist selbstbeschreibendes Token für sichere Informationsübertragung.","jwt,token,authentication","Header.Payload.Signature","Stateless Authentication"
"Blockchain","Konzept","Was ist eine Blockchain?","Verschlüsselung","Verkettete Datenblöcke","Datenbank","Programmiersprache","B","2","Blockchain ist unveränderliche Kette kryptografisch verbundener Blöcke.","blockchain,krypto,distributed","Dezentral und transparent","Bitcoin erste Anwendung"
"Blockchain","Konsens","Was ist Proof of Work?","Arbeitsnachweis","Konsensmechanismus durch Rechenleistung","Verschlüsselung","Signatur","B","2","PoW sichert Blockchain durch rechenintensive Aufgaben.","blockchain,pow,konsens","Bitcoin nutzt PoW","Energieintensiv"
"Blockchain","Smart Contracts","Was sind Smart Contracts?","Juristische Verträge","Selbstausführende Programme","E-Mail-Verträge","PDF-Dokumente","B","2","Smart Contracts sind Programme die automatisch Bedingungen ausführen.","blockchain,smart-contract,ethereum","If-Then-Logik auf Blockchain","Ethereum primäre Plattform"
"Blockchain","Mining","Was macht ein Miner?","Gräbt Münzen","Validiert Transaktionen","Programmiert","Designed","B","2","Miner validieren Transaktionen und erstellen neue Blöcke.","blockchain,mining,krypto","Erhält Block-Reward","Sichert das Netzwerk"
"Blockchain","DeFi","Was bedeutet DeFi?","Definierte Finanzen","Decentralized Finance","Deutsche Finanzen","Default Finance","B","2","DeFi sind Finanzdienstleistungen auf Blockchain ohne Intermediäre.","blockchain,defi,finance","Lending, Trading, Staking","Smart Contracts statt Banken"
"IoT","Protokolle","Welches Protokoll ist typisch für IoT?","HTTP","MQTT","FTP","SMTP","B","2","MQTT ist leichtgewichtiges Publish-Subscribe Protokoll für IoT.","iot,mqtt,protokoll","Geringer Bandbreitenbedarf","Ideal für Sensordaten"
"IoT","Edge Computing","Was ist Edge Computing?","Cloud Computing","Datenverarbeitung am Netzwerkrand","Zentrale Verarbeitung","Backup-Strategie","B","2","Edge Computing verarbeitet Daten nahe der Quelle statt in Cloud.","iot,edge,computing","Reduziert Latenz","Entlastet Netzwerk"
"IoT","Sicherheit","Was ist eine große IoT-Sicherheitsherausforderung?","Zu wenig Geräte","Schwache Default-Passwörter","Zu viel Speicher","Zu schnelle Prozessoren","B","1","Viele IoT-Geräte haben unsichere Standardkonfigurationen.","iot,sicherheit,passwort","Mirai-Botnetz als Beispiel","Updates oft vernachlässigt"
"IoT","Standards","Was ist Zigbee?","Programmiersprache","Drahtloser IoT-Standard","Datenbank","Betriebssystem","B","2","Zigbee ist energieeffizienter Funkstandard für Smart Home.","iot,zigbee,wireless","2.4 GHz Band","Mesh-Netzwerk-fähig"
