topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Ergonomie","RSI","Was ist RSI?","Software","Repetitive Strain Injury","Protokoll","Verschlüsselung","B","2","RSI = Verletzung durch wiederholte Belastung (z.B. Mausarm).","rsi,ergonomie,verletzung","Häufig bei Büroarbeit","Prävention durch Ergonomie"
"Ergonomie","Sitzhaltung","Was ist der optimale Kniewinkel beim Sitzen?","45°","90°","120°","180°","B","1","90° Kniewinkel bei Füßen flach auf dem Boden.","ergonomie,sitzen,winkel","Auch 90° Ellenbogenwinkel","Dynamisches Sitzen wichtig"
"Projektmanagement","Methoden","Was ist Waterfall?","Agile Methode","Sequenzielle Methode","Testmethode","Programmiersprache","B","1","Wasserfall-Modell mit sequenziellen Phasen ohne Rücksprünge.","waterfall,wasserfall,projekt","Klassisches Vorgehen","Anforderungen vorab fix"
"Projektmanagement","Tools","Was ist ein Gantt-Chart?","Kostenplan","Balkendiagramm für Zeitplanung","Risikoanalyse","Organigramm","B","1","Gantt-Diagramm visualisiert Projektaktivitäten über Zeit.","gantt,projektplan,diagramm","Zeigt Abhängigkeiten","Henry Gantt 1910"
"Projektmanagement","Rollen","Was macht ein Stakeholder?","Programmiert","Hat Interesse am Projekt","Testet","Dokumentiert","B","1","Stakeholder sind alle vom Projekt Betroffenen/Interessierten.","stakeholder,projekt,rolle","Interne und externe","Stakeholder-Analyse wichtig"
"Projektmanagement","Risiko","Was ist eine RisikoMatrix?","Projektplan","Risikobewertung nach Eintritt/Auswirkung","Kostenplan","Zeitplan","B","2","Matrix bewertet Risiken nach Wahrscheinlichkeit und Schaden.","risiko,matrix,bewertung","Rot-Gelb-Grün Ampel","Priorisierung von Maßnahmen"
"Projektmanagement","Agile","Was ist ein MVP?","Most Valuable Player","Minimal funktionsfähiges Produkt","Maximum Value Product","Management Vice President","B","2","Minimum Viable Product = kleinstmögliche nutzbare Version.","mvp,agile,produkt","Schnelles Feedback","Iterative Entwicklung"
"Softwareentwicklung","Patterns","Was ist MVC?","Verschlüsselung","Model-View-Controller Pattern","Programmiersprache","Datenbank","B","2","MVC trennt Daten, Präsentation und Steuerung.","mvc,pattern,architektur","Separation of Concerns","Wartbarkeit erhöht"
"Softwareentwicklung","Clean Code","Was ist DRY?","Verschlüsselung","Don't Repeat Yourself","Datenbank","Testmethode","B","1","DRY-Prinzip vermeidet Code-Duplikation.","dry,clean-code,prinzip","Einmal definieren, mehrfach nutzen","Wartbarkeit verbessern"
"Softwareentwicklung","SOLID","Was bedeutet das S in SOLID?","Security","Single Responsibility","Speed","Scalability","B","2","Single Responsibility: Klasse hat nur eine Verantwortlichkeit.","solid,srp,prinzip","Eine Klasse, ein Zweck","Erhöht Kohäsion"
"Softwareentwicklung","Refactoring","Was ist Refactoring?","Neue Features","Code-Verbesserung ohne Funktionsänderung","Debugging","Testing","B","1","Refactoring verbessert Code-Struktur bei gleicher Funktionalität.","refactoring,clean-code,wartung","Kontinuierlich durchführen","Tests absichern"
"Softwareentwicklung","Version","Was bedeutet Semantic Versioning?","Zufällige Nummern","Major.Minor.Patch Schema","Datum-basiert","Alphabetisch","B","2","MAJOR.MINOR.PATCH (z.B. 2.1.3) mit definierter Bedeutung.","semver,version,schema","Breaking.Feature.Bugfix","API-Kompatibilität anzeigen"
"Betriebssysteme","Prozesse","Was ist ein Zombie-Prozess?","Virus","Beendeter Prozess im System","Schlafender Prozess","Aktiver Prozess","B","2","Zombie = beendeter Prozess, dessen Exit-Status noch nicht abgeholt wurde.","zombie,prozess,unix","Parent muss wait() aufrufen","Belegt Prozess-Tabellen-Eintrag"
"Betriebssysteme","Scheduling","Was ist Round-Robin?","Backup-Methode","Zeitscheiben-Scheduling","Verschlüsselung","Netzwerkprotokoll","B","2","Round-Robin gibt jedem Prozess reihum gleiche CPU-Zeit.","round-robin,scheduling,cpu","Fair aber nicht optimal","Quantum/Zeitscheibe wichtig"
"Betriebssysteme","Memory","Was ist Paging?","Drucken","Speicherverwaltung in Seiten","Netzwerk","Backup","B","2","Paging teilt Speicher in gleich große Seiten auf.","paging,memory,speicher","Vermeidet externe Fragmentierung","Page Table mappt virtuell zu physisch"
"Betriebssysteme","Dateisystem","Was ist Journaling?","Logging","Änderungen vor Ausführung protokollieren","Kompression","Verschlüsselung","B","2","Journaling Filesystems loggen Änderungen für Crash-Recovery.","journaling,dateisystem,recovery","ext4, NTFS nutzen Journaling","Verhindert Inkonsistenzen"
"Betriebssysteme","Kernel","Was ist ein Kernel Panic?","Virus","Kritischer Kernel-Fehler","Update","Neustart","B","2","Kernel Panic = nicht behebbarer Fehler im OS-Kern.","kernel-panic,crash,fehler","Blue Screen in Windows","System muss neu starten"
"Infrastruktur","Datacenter","Was ist ein Tier-4 Rechenzentrum?","Niedrigste Stufe","Höchste Verfügbarkeitsstufe","Mittlere Stufe","Testumgebung","B","2","Tier 4 = 99.995% Verfügbarkeit, vollredundant.","tier4,datacenter,verfügbarkeit","Max 26 Min Ausfall/Jahr","Fault Tolerant"
"Infrastruktur","Kühlung","Was ist Hot Aisle/Cold Aisle?","Brandschutz","Luftstrom-Management","Netzwerk-Design","Stromverteilung","B","2","Anordnung von Serverracks für optimale Kühlung.","kühlung,datacenter,airflow","Kaltgang vorne, Warmgang hinten","Energieeffizienz"
"Infrastruktur","USV","Was bedeutet USV?","Software","Unterbrechungsfreie Stromversorgung","Netzwerk","Speicher","B","1","USV/UPS überbrückt Stromausfälle mit Batterien.","usv,ups,strom","Online vs. Line-Interactive","Überbrückungszeit beachten"
"Infrastruktur","Verkabelung","Was ist Structured Cabling?","WLAN","Standardisierte Gebäudeverkabelung","Software","Cloud","B","2","Strukturierte Verkabelung nach Standards wie TIA-568.","verkabelung,structured,cabling","Horizontal und Vertikal","Patch Panels und Racks"
"Infrastruktur","KVM","Was ist ein KVM-Switch?","Netzwerk-Switch","Keyboard-Video-Mouse Umschalter","Virtuelle Maschine","Firewall","B","1","KVM-Switch erlaubt Steuerung mehrerer Computer mit einem Set.","kvm,switch,hardware","Spart Peripherie","Auch KVM over IP"
"Compliance","Standards","Was ist SOC 2?","Software","Service Organization Control","Netzwerk","Datenbank","B","2","SOC 2 prüft Sicherheit, Verfügbarkeit, Vertraulichkeit von Services.","soc2,compliance,audit","Type I und Type II","Trust Service Criteria"
"Compliance","Regulierung","Was ist HIPAA?","Software","US-Gesundheitsdatenschutz","EU-Richtlinie","Verschlüsselung","B","2","Health Insurance Portability and Accountability Act.","hipaa,compliance,gesundheit","PHI-Schutz","Hohe Strafen bei Verletzung"
"Compliance","PCI DSS","Was regelt PCI DSS?","Internet-Geschwindigkeit","Kreditkartendaten-Sicherheit","E-Mail-Verschlüsselung","Passwort-Regeln","B","2","Payment Card Industry Data Security Standard.","pci-dss,compliance,payment","12 Anforderungen","Für Kartenzahlung-Verarbeiter"
"Compliance","Audit","Was ist ein Penetrationstest?","Geschwindigkeitstest","Autorisierter Sicherheitstest","Lasttest","Usability-Test","B","2","Pentest simuliert Angriffe zur Schwachstellenfindung.","pentest,audit,sicherheit","White/Grey/Black Box","Ethisches Hacking"
"Compliance","Zertifizierung","Was ist Common Criteria?","Programmiersprache","IT-Sicherheitszertifizierung","Netzwerkprotokoll","Datenbank","B","2","Common Criteria (ISO 15408) für IT-Sicherheitsbewertung.","common-criteria,zertifizierung,sicherheit","EAL 1-7 Level","International anerkannt"
"Künstliche Intelligenz","Grundlagen","Was ist Machine Learning?","Programmierung","Lernen aus Daten","Hardware","Netzwerk","B","1","ML-Systeme verbessern sich durch Erfahrung/Daten.","ml,ai,lernen","Ohne explizite Programmierung","Muster in Daten erkennen"
"Künstliche Intelligenz","Types","Was ist Reinforcement Learning?","Überwachtes Lernen","Lernen durch Belohnung","Unüberwachtes Lernen","Transfer Learning","B","2","RL lernt optimale Aktionen durch Trial-and-Error mit Rewards.","reinforcement,learning,ai","Agent in Environment","Q-Learning, Policy Gradient"
"Künstliche Intelligenz","NLP","Was ist Natural Language Processing?","Bildverarbeitung","Sprachverarbeitung","Netzwerk","Datenbank","B","1","NLP ermöglicht Computern Verständnis natürlicher Sprache.","nlp,ai,sprache","ChatGPT, Übersetzung","Tokenization, Embedding"
"Künstliche Intelligenz","Computer Vision","Was ist Object Detection?","Texterkennung","Objekterkennung in Bildern","Spracherkennung","Musikerkennung","B","1","Erkennt und lokalisiert Objekte in Bildern/Videos.","object-detection,cv,ai","YOLO, R-CNN","Bounding Boxes"
"Künstliche Intelligenz","Ethics","Was ist AI Bias?","Geschwindigkeit","Voreingenommenheit in KI","Verschlüsselung","Speicher","B","2","Bias = systematische Verzerrung in KI-Entscheidungen.","bias,ai,ethics","Aus Trainingsdaten","Fairness-Problem"
"Soft Skills","Zeitmanagement","Was ist die Pomodoro-Technik?","Kochtechnik","25 Min Arbeit, 5 Min Pause","Sport-Übung","Meeting-Format","B","1","Zeitmanagement mit 25-Minuten-Arbeitsintervallen.","pomodoro,zeitmanagement,produktivität","Nach 4 Pomodori lange Pause","Fokus und Pausen"
"Soft Skills","Problemlösung","Was ist die 5-Why-Methode?","5 Lösungen finden","5x Warum fragen","5 Personen fragen","5 Minuten denken","B","1","Wurzelursachen durch wiederholtes Warum-Fragen finden.","5-why,problemlösung,analyse","Toyota-Methode","Tiefergehende Ursachen"
"Soft Skills","Teamwork","Was ist Psychological Safety?","Arbeitsschutz","Angstfreies Teamklima","Verschlüsselung","Datenschutz","B","2","Team-Umfeld wo Fehler und Fragen ohne Angst möglich sind.","psychological-safety,team,kultur","Google-Studie","Basis für Innovation"
"Soft Skills","Learning","Was ist die Feynman-Technik?","Programmierung","Lernen durch einfaches Erklären","Mathematik","Sport","B","2","Konzepte verstehen durch Erklären in einfachen Worten.","feynman,lernen,technik","Lücken werden sichtbar","Teaching is learning"
"Soft Skills","Leadership","Was ist Servant Leadership?","Befehlsführung","Dienende Führung","Keine Führung","Rotation","B","2","Führungsstil der Team-Bedürfnisse priorisiert.","servant-leadership,führung,agile","Unterstützen statt befehlen","Empowerment des Teams"
"Trends","Quantum","Was ist ein Qubit?","Klassisches Bit","Quantum Bit","Datenbank","Netzwerk","B","2","Qubit kann gleichzeitig 0 und 1 sein (Superposition).","qubit,quantum,computing","Basis von Quantencomputern","Exponentiell mächtiger"
"Trends","5G","Was ist der Hauptvorteil von 5G?","Nur Geschwindigkeit","Latenz, Geschwindigkeit, Kapazität","Nur Reichweite","Nur Kosten","B","2","5G bietet <1ms Latenz, 10Gbps, massive IoT-Unterstützung.","5g,mobilfunk,netzwerk","Network Slicing möglich","mmWave und Sub-6"
"Trends","AR/VR","Was ist der Unterschied zwischen AR und VR?","Kein Unterschied","AR erweitert, VR ersetzt Realität","AR ist älter","VR ist billiger","B","1","AR überlagert real, VR schafft virtuelle Welt.","ar,vr,xr","AR: Pokemon Go, VR: Oculus","Mixed Reality dazwischen"
"Trends","Blockchain","Was ist ein NFT?","Verschlüsselung","Non-Fungible Token","Netzwerk File Transfer","New Finance Technology","B","2","NFT = einzigartiger digitaler Vermögenswert auf Blockchain.","nft,blockchain,token","Nicht austauschbar","Digitale Kunst, Gaming"
"Trends","Zero Trust","Was ist Zero Trust Security?","Kein Schutz","Niemandem vertrauen, alles prüfen","Nur Firewall","Nur VPN","B","2","Zero Trust = kontinuierliche Verifikation, kein implizites Vertrauen.","zero-trust,security,netzwerk","Perimeter-loses Modell","Least Privilege Prinzip"
